,name,cik,ticker
488,Western Digital,106040.0,WDC
484,WEC Energy Group,783325.0,WEC
486,Welltower Inc.,766704.0,WELL
485,Wells Fargo,72971.0,WFC
492,Whirlpool Corp.,106640.0,WHR
494,Willis Towers Watson,1140536.0,WLTW
482,Waste Management Inc.,823768.0,WM
493,Williams Companies,107263.0,WMB
479,Walmart,104169.0,WMT
477,W. R. Berkley Corporation,11544.0,WRB
490,WestRock,1732845.0,WRK
487,West Pharmaceutical Services,105770.0,WST
489,Western Union Co,1365135.0,WU
491,Weyerhaeuser,106535.0,WY
495,Wynn Resorts Ltd,1174922.0,WYNN
496,Xcel Energy Inc,72903.0,XEL
497,Xilinx,743988.0,XLNX
182,Exxon Mobil Corp.,34088.0,XOM
138,Dentsply Sirona,818479.0,XRAY
498,Xylem Inc.,1524472.0,XYL
499,Yum! Brands Inc,1041061.0,YUM
501,Zimmer Biomet,1136869.0,ZBH
500,Zebra Technologies,877212.0,ZBRA
502,Zions Bancorp,109380.0,ZION
503,Zoetis,1555280.0,ZTS
